"Part number","Description","Order Now","SubFamily","Interface","Operating temperature range (C)","Local sensor accuracy(Max) (+/- C)","Rating","Package Group","Package size: mm2:W x L (PKG)","Supply voltage  (Min) (V)","Supply voltage (Max) (V)","Supply current(Max) (uA)"
"TMP175-Q1","Automotive Temp. Sensor with 27 I2C/SMBus Addresses in Industry Standard LM75 Form Factor & Pinout","=HYPERLINK(""https://www.ti.com/product/TMP175-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.5","Automotive","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","85"
"TMP100-Q1","Temperature Sensor With I2C and SMBus Interface With Alert Function","=HYPERLINK(""https://www.ti.com/product/TMP100-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Automotive","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","75"
"TMP175","Temperature Sensor with 27 I2C/SMBus Addresses in Industry Standard LM75 Form Factor & Pinout","=HYPERLINK(""https://www.ti.com/product/TMP175/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.5","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","85"
"TMP104","Temperature Sensor with Daisy-Chain UART Interface with up to 16 Devices","=HYPERLINK(""https://www.ti.com/product/TMP104/samplebuy"",""Order Now"")","Digital temperature sensors","UART","-40 to 125","2","Catalog","DSBGA|4","1 mm2: 1 x 1.2 (DSBGA|4)","1.4","3.6","85"
"TMP105","&plusmn;2&deg;C, 2.6V to 3.3V digital temperature sensor with I2C/SMBus interface &amp; Alert fun","=HYPERLINK(""https://www.ti.com/product/TMP105/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Catalog","DSBGA|6","3 mm2: 1.8 x 1.5 (DSBGA|6)","2.6","3.3","85"
"TMP106","&plusmn;2&deg;C, 2.7V to 5.5V digital temperature sensor with I2C/SMBus interface &amp; alert fun","=HYPERLINK(""https://www.ti.com/product/TMP106/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Catalog","DSBGA|6","3 mm2: 1.8 x 1.5 (DSBGA|6)","2.7","5.5","85"
"LM75B","&plusmn;2&deg;C, 3.0V to 5.5V industry standard temperature sensor with I2C/SMBus interface","=HYPERLINK(""https://www.ti.com/product/LM75B/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","2","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","3","5.5","500"
"LM73-Q1","11- to 14-Bit Digital Temperature Sensor With 2-Wire Interface","=HYPERLINK(""https://www.ti.com/product/LM73-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.45","Automotive","SOT-23-THIN|6","5 mm2: 1.6 x 2.9 (SOT-23-THIN|6)","2.7","5.5","550"
"LM71-Q1","Automotive Grade, ±1.5°C Temperature Sensor with SPI Interface","=HYPERLINK(""https://www.ti.com/product/LM71-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 150","1.5","Automotive","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.65","5.5","550"
"LM95172-Q1","Automotive Grade, ±1°C Temperature Sensor with 200°C Capability and SPI Interface","=HYPERLINK(""https://www.ti.com/product/LM95172-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 200","1","Automotive","CFP|10","42 mm2: 6.121 x 6.858 (CFP|10)","3","5.5","456"
"LM92","±0.5°C Temperature Sensor with Alert Function and I2C/SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM92/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 150","0.5","Catalog","SOIC|8","19 mm2: 3.91 x 4.9 (SOIC|8)","2.7","5.5","625"
"LM74","±1.25°C Temperature Sensor with SPI Interface","=HYPERLINK(""https://www.ti.com/product/LM74/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 125,
-55 to 150","1.25","Catalog","DSBGA|5, SOIC|8","See datasheet (DSBGA), 19 mm2: 3.91 x 4.9 (SOIC|8)","2.65,
3","5.5","470"
"LM77","±1.5°C Temperature Sensor with Alert Function and I2C/SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM77/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","1.5","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","3","5.5","500"
"LM71","±1.5°C Temperature Sensor with SPI Interface","=HYPERLINK(""https://www.ti.com/product/LM71/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 150","1.5","Catalog","SOT-23|5, WSON|6","5 mm2: 1.6 x 2.9 (SOT-23|5), 9 mm2: 3 x 3 (WSON|6)","2.65","5.5","550"
"LM76","±1°C Temperature Sensor with Alert Function and I2C/SMBUS Interface","=HYPERLINK(""https://www.ti.com/product/LM76/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 150","1","Catalog","SOIC|8","19 mm2: 3.91 x 4.9 (SOIC|8)","4.5","5.5","450"
"LM73","±1°C Temperature Sensor with I2C/SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM73/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 150","1","Catalog","SOT-23-THIN|6","5 mm2: 1.6 x 2.9 (SOT-23-THIN|6)","2.7","5.5","550"
"LM95071","±1°C Temperature Sensor with SPI Interface","=HYPERLINK(""https://www.ti.com/product/LM95071/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 150","1","Catalog","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.4","5.5","520"
"LM95010","±2°C Temperature Sensor with SensorPath Interface","=HYPERLINK(""https://www.ti.com/product/LM95010/samplebuy"",""Order Now"")","Digital temperature sensors","1-wire Sensor Path","-20 to 125","2","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","3","3.6","750"
"LM70","±2°C  Temperature Sensor with SPI Interface","=HYPERLINK(""https://www.ti.com/product/LM70/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-55 to 150","2","Catalog","VSSOP|8, WSON|8","15 mm2: 4.9 x 3 (VSSOP|8), 9 mm2: 3 x 3 (WSON|8)","2.65","5.5","490"
"LM95245","&plusmn;0.75&deg;C remote &amp; local temperature sensor with SMBus, beta compensation for 45nm d","=HYPERLINK(""https://www.ti.com/product/LM95245/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","670"
"LM95235","&plusmn;0.75&deg;C remote &amp; local temperature sensor with SMBus, beta compensation for 65/90n","=HYPERLINK(""https://www.ti.com/product/LM95235/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 90,
0 to 90","2","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","3","5.5","650"
"LM95241","&plusmn;1.25&deg;C dual remote &amp; local temperature sensor with beta compensation and SMBus, I","=HYPERLINK(""https://www.ti.com/product/LM95241/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 85","3","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","640"
"LM95221","&plusmn;3&deg;C dual remote &amp; local temperature sensor with beta compensation and SMBus, I2C ","=HYPERLINK(""https://www.ti.com/product/LM95221/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 85","3","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","3","3.6","2600"
"TMP421-Q1","AEC-Q100 Automotive 1Ch Remote Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/TMP421-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.5","Automotive","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","38"
"TMP422-Q1","AEC-Q100 Automotive 2Ch Remote Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/TMP422-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.5","Automotive","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","38"
"LM95235-Q1","Automotive Grade, ±2°C Remote and Local Temperature Sensor with TruTherm Technology and SMBus","=HYPERLINK(""https://www.ti.com/product/LM95235-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 85","2","Automotive","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","350"
"TMP442","Dual Remote and Local Temp Sensor with Auto Beta, N-Factor and Series-R Correction in SOT-23","=HYPERLINK(""https://www.ti.com/product/TMP442/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","45"
"TMP432","Dual Remote and Local Temp Sensor with Automatic Beta, N-Factor and Series-R Correction","=HYPERLINK(""https://www.ti.com/product/TMP432/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","VSSOP|10","9 mm2: 3 x 3 (VSSOP|10)","2.7","5.5","45"
"TMP422","Dual Remote and Local Temperature Sensor with N-Factor and Series-R Correction in WCSP","=HYPERLINK(""https://www.ti.com/product/TMP422/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2.5","Catalog","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","38"
"LM95231","Dual Remote and Local Temperature Sensor with TruTherm Technology and SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM95231/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 85","3","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","3","3.6","402"
"TMP441","Multi-Address Remote and Local Temp Sensor with Auto Beta, N-Factor and Series-R Correction in SOT23","=HYPERLINK(""https://www.ti.com/product/TMP441/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","45"
"TMP435","Multi-Address Remote and Local Temp Sensor with Automatic Beta, N-Factor and Series-R Correction","=HYPERLINK(""https://www.ti.com/product/TMP435/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","VSSOP|10","9 mm2: 3 x 3 (VSSOP|10)","2.7","5.5","45"
"TMP431","Remote and Local Temperature Sensor with Automatic Beta, N-Factor and Series-R Correction","=HYPERLINK(""https://www.ti.com/product/TMP431/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","45"
"TMP400","Remote and Local Temperature Sensor with N-Factor and Series-R Correction in QSSOP-16","=HYPERLINK(""https://www.ti.com/product/TMP400/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","SSOP|16","29 mm2: 6 x 4.9 (SSOP|16)","2.7","5.5","38"
"TMP401","Remote and Local Temperature Sensor with N-Factor and Series-R Correction in VSSOP-8","=HYPERLINK(""https://www.ti.com/product/TMP401/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","3","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","3","5.5","36"
"TMP421","Remote and Local Temperature Sensor with N-Factor and Series-R Correction in WCSP","=HYPERLINK(""https://www.ti.com/product/TMP421/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2.5","Catalog","DSBGA|8, SOT-23|8","3 mm2: 2.3 x 1.3 (DSBGA|8), 8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","38"
"LM90","Remote and Local Temperature Sensor with SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM90/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 125","4","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","3","3.6","1700"
"LM82","Remote and Local Temperature Sensor with SMBus, I2C Interface","=HYPERLINK(""https://www.ti.com/product/LM82/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","3","Catalog","SSOP|16","29 mm2: 6 x 4.9 (SSOP|16)","3","3.6","800"
"LM99","Remote and Local Temperature Sensor with TruTherm Technology and SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM99/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 85","3","Catalog","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","1700"
"TMP423","Triple Remote and Local Temperature Sensor with N-Factor and Series-R Correction","=HYPERLINK(""https://www.ti.com/product/TMP423/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2.5","Catalog","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","38"
"LM83","Triple Remote and Local Temperature Sensor with SMBus, I2C Interface and ACPI Compatible","=HYPERLINK(""https://www.ti.com/product/LM83/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","3","Catalog","SSOP|16","29 mm2: 6 x 4.9 (SSOP|16)","3","3.6","800"
"LM86","±0.75°C remote and local temperature sensor with SMBus interface","=HYPERLINK(""https://www.ti.com/product/LM86/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 125","3","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","3","3.6","1700"
"LM89","±0.75°C remote and local temperature sensor with SMBus interface and 2 addresses for bus sharing","=HYPERLINK(""https://www.ti.com/product/LM89/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 125","3","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","3","3.6","1700"
"LM84","±1°C Remote and Local Temperature Sensor with SMBus, I2C Interface","=HYPERLINK(""https://www.ti.com/product/LM84/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","0 to 125","1","Catalog","SSOP|16","29 mm2: 6 x 4.9 (SSOP|16)","3","3.6","1000"
"LM95213","±2°C Dual Remote and Local Temperature Sensor with SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM95213/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 140","2","Catalog","WSON|14","16 mm2: 4 x 4 (WSON|14)","3","3.6","800"
"LM95233","±2°C Dual Remote and Local Temperature Sensor with TruTherm Technology and SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM95233/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 140","2","Catalog","WSON|14","16 mm2: 4 x 4 (WSON|14)","3","3.6","500"
"LM95214","±2°C Quad Remote and Local Temperature Sensor with SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM95214/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 140","2","Catalog","WSON|14","16 mm2: 4 x 4 (WSON|14)","3","3.6","800"
"LM95234","±2°C Quad Remote and Local Temperature Sensor with TruTherm Technology and SMBus Interface","=HYPERLINK(""https://www.ti.com/product/LM95234/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 140","2","Catalog","WSON|14","16 mm2: 4 x 4 (WSON|14)","2.7","5.5","800"
"LM96080","1 local temp sensor with fan speed and power supply voltage monitor","=HYPERLINK(""https://www.ti.com/product/LM96080/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Catalog","TSSOP|24","34 mm2: 4.4 x 7.8 (TSSOP|24)","3","5.5","580"
"LM96063","1 remote and local temp sensor fan controller with acoustic fan noise reduction","=HYPERLINK(""https://www.ti.com/product/LM96063/samplebuy"",""Order Now"")","Digital temperature sensors","SMBus","-40 to 85","3","Catalog","WSON|10","9 mm2: 3 x 3 (WSON|10)","3","3.6","825"
"AMC6821","1 remote and local temp sensor with automatic fan speed control and fault detection","=HYPERLINK(""https://www.ti.com/product/AMC6821/samplebuy"",""Order Now"")","Digital temperature sensors","SMBus","-40 to 125","2","Catalog","SSOP|16","29 mm2: 6 x 4.9 (SSOP|16)","2.7","5.5","2000"
"LM96163","1 remote and local temp sensor with beta compensation and fan control","=HYPERLINK(""https://www.ti.com/product/LM96163/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","3","Catalog","WSON|10","9 mm2: 3 x 3 (WSON|10)","3","3.6","825"
"LM63","1 remote and local temperature sensor with fan control","=HYPERLINK(""https://www.ti.com/product/LM63/samplebuy"",""Order Now"")","Digital temperature sensors","SMBus","0 to 125","3","Catalog","SOIC|8","19 mm2: 3.91 x 4.9 (SOIC|8)","3","3.6","2000"
"SM72480","1.6V, LLP-6 Factory Preset Temperature Switch and Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/SM72480/samplebuy"",""Order Now"")","Temperature switches","Analog","-50 to 150"," --- ","Catalog","WSON|6","6 mm2: 2.5 x 2.2 (WSON|6)","1.6","5.5"," --- "
"LM26LV","1.6V-Capable Temperature Sensor Switch with Factory Programmed Trip Points","=HYPERLINK(""https://www.ti.com/product/LM26LV/samplebuy"",""Order Now"")","Analog temperature sensors,
Temperature switches","Analog Output,
Switch","-40 to 150","2.3","Catalog","WSON|6","6 mm2: 2.5 x 2.2 (WSON|6)","1.6","5.5","16"
"LM87","2 remote and 1 local temp sensor, fan control, hardware and 8 power supply voltage monitors","=HYPERLINK(""https://www.ti.com/product/LM87/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","TSSOP|24","34 mm2: 4.4 x 7.8 (TSSOP|24)","2.8","3.8","1200"
"LM93","2 remote, 1 local temp sensor with hardware monitor and 16 power supply voltage monitors","=HYPERLINK(""https://www.ti.com/product/LM93/samplebuy"",""Order Now"")","Digital temperature sensors","SMBus","0 to 85","3","Catalog","TSSOP|56","113 mm2: 8.1 x 14 (TSSOP|56)","3","3.6","900"
"LM235","Analog Out Temperature Sensor in Hermetic TO","=HYPERLINK(""https://www.ti.com/product/LM235/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 125","3","Catalog","TO|3","35 mm2: 5.44 x 6.41 (TO|3)","5","3.01","400"
"LM135","Analog Output Temperature Sensor in Hermetic TO","=HYPERLINK(""https://www.ti.com/product/LM135/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 150","3","Catalog","TO|3","35 mm2: 5.44 x 6.41 (TO|3)","5","3.01","400"
"LM26LV-Q1","Automotive Grade, 1.6V-Capable Temperature Sensor Switch with Factory Programmed Trip Points","=HYPERLINK(""https://www.ti.com/product/LM26LV-Q1/samplebuy"",""Order Now"")","Temperature switches","Analog Output,
Switch","-40 to 150","2.3","Automotive","WSON|6","6 mm2: 2.5 x 2.2 (WSON|6)","1.6","5.5","16"
"TMP300-Q1","Automotive Grade, Resistor-Programmable, up to 18V-Capable Temp Switch and Analog Out Sensor","=HYPERLINK(""https://www.ti.com/product/TMP300-Q1/samplebuy"",""Order Now"")","Temperature switches","Analog Output,
Switch","-40 to 125"," --- ","Automotive","SC70|6","4 mm2: 2.1 x 2 (SC70|6)","1.8","18","110"
"TMP107-Q1","Automotive Grade, ±0.4°C Temperature Sensor with Daisy-Chain UART, EEPROM, and Alert Function","=HYPERLINK(""https://www.ti.com/product/TMP107-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","UART","-40 to 125","0.4","Automotive","SOIC|8","19 mm2: 3.91 x 4.9 (SOIC|8)","1.7","5.5","35"
"LM57-Q1","Automotive Grade, ±0.7°C Temperature Sensor with Resistor-Programmable Temp Switch","=HYPERLINK(""https://www.ti.com/product/LM57-Q1/samplebuy"",""Order Now"")","Temperature switches","Analog Output,
Switch","-50 to 125,
-50 to 150,
-50 to 160"," --- ","Automotive","TSSOP|8","19 mm2: 6.4 x 3 (TSSOP|8)","2.4","5.5","28"
"TMP708-Q1","Automotive grade, &plusmn;3&deg;C temperature switch with pin selectable 10&deg;C and 30&deg;C hy","=HYPERLINK(""https://www.ti.com/product/TMP708-Q1/samplebuy"",""Order Now"")","Temperature switches","Switch","0 to 125"," --- ","Automotive","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.7","5.5","55"
"AMC6821-Q1","Automotive remote and local temp sensor with automatic fan speed control and fault detection","=HYPERLINK(""https://www.ti.com/product/AMC6821-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","SMBus","-40 to 125","2","Automotive","SSOP|16","29 mm2: 6 x 4.9 (SSOP|16)","2.7","5.5","2000"
"TMP302-Q1","Automotive, Pin-Selectable Trip Point 1.4V-Capable Family of Temperature Switches","=HYPERLINK(""https://www.ti.com/product/TMP302-Q1/samplebuy"",""Order Now"")","Temperature switches","Switch","-40 to 125"," --- ","Automotive","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.4","3.6","15"
"TMP709-Q1","Automotive, ±3°C temperature switch with pin selectable 2°C and 10°C hysteresis in SOT","=HYPERLINK(""https://www.ti.com/product/TMP709-Q1/samplebuy"",""Order Now"")","Temperature switches","Switch","0 to 125"," --- ","Automotive","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.7","5.5","55"
"LM56","Dual Output Resistor-Programmable Temperature Switch","=HYPERLINK(""https://www.ti.com/product/LM56/samplebuy"",""Order Now"")","Analog temperature sensors,
Temperature switches","Analog Output,
Switch","-40 to 125"," --- ","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","10","230"
"TMP422-EP","Dual remote and local temperature sensor with N-factor and series-R correction","=HYPERLINK(""https://www.ti.com/product/TMP422-EP/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","2.5","HiRel Enhanced Product","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","38"
"TMP100-EP","Enhanced Product, Temperature Sensor with I2C/SMBus Interface in SOT-23","=HYPERLINK(""https://www.ti.com/product/TMP100-EP/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","2","HiRel Enhanced Product","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","75"
"TMP121-EP","Enhanced Product, Temperature Sensor with SPI Interface","=HYPERLINK(""https://www.ti.com/product/TMP121-EP/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 125","1.5","HiRel Enhanced Product","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","50"
"TMP122-EP","Enhanced Product, Temperature Sensor with SPI Interface with Alert Function in SOT-23","=HYPERLINK(""https://www.ti.com/product/TMP122-EP/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-55 to 125","1.5","HiRel Enhanced Product","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","75"
"TMP303","Factory Programmed Temperature Window Comparator","=HYPERLINK(""https://www.ti.com/product/TMP303/samplebuy"",""Order Now"")","Temperature switches","Switch","-40 to 125"," --- ","Catalog","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.4","3.6","5"
"LM26NV","Factory preset trip point temperature switch (no analog output)","=HYPERLINK(""https://www.ti.com/product/LM26NV/samplebuy"",""Order Now"")","Analog temperature sensors,
Temperature switches","Switch","-55 to 125"," --- ","Catalog","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.7","5.5","40"
"LM26","Factory preset trip point temperature switch with analog output","=HYPERLINK(""https://www.ti.com/product/LM26/samplebuy"",""Order Now"")","Analog temperature sensors,
Temperature switches","Analog Output,
Switch","-55 to 125"," --- ","Catalog","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.7","5.5","40"
"LM96000","Hardware monitor with fan control and 6 power supply voltage monitors","=HYPERLINK(""https://www.ti.com/product/LM96000/samplebuy"",""Order Now"")","Digital temperature sensors","SMBus","0 to 125","3","Catalog","TSSOP|24","34 mm2: 4.4 x 7.8 (TSSOP|24)","3","3.6","530"
"LM81","Local temp sensor, fan control, hardware and 6 power supply voltage monitors","=HYPERLINK(""https://www.ti.com/product/LM81/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","3","Catalog","TSSOP|24","34 mm2: 4.4 x 7.8 (TSSOP|24)","2.8","3.8","900"
"AMC80","Low power local temp sensor with fan speed and power supply voltage monitor","=HYPERLINK(""https://www.ti.com/product/AMC80/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Catalog","TSSOP|24","34 mm2: 4.4 x 7.8 (TSSOP|24)","3","5.5","100"
"LM335A","Military grade, &plusmn;1&deg;C analog output temperature sensor with 10mV / K gain in hermetic a","=HYPERLINK(""https://www.ti.com/product/LM335A/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 100,
-40 to 85","3","Catalog","TO|3","35 mm2: 5.44 x 6.41 (TO|3)","5","3","400"
"LM335","Military grade, &plusmn;2&deg;C analog output temperature sensor with 10mV / K gain in hermetic a","=HYPERLINK(""https://www.ti.com/product/LM335/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 100","6","Catalog","SOIC|8, TO-92|3, TO|3","19 mm2: 3.91 x 4.9 (SOIC|8), 35 mm2: 5.44 x 6.41 (TO|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","5","3.04","400"
"TMP302","Pin-Selectable Trip Point 1.4V-Capable Family of Temperature Switches","=HYPERLINK(""https://www.ti.com/product/TMP302/samplebuy"",""Order Now"")","Temperature switches","Switch","-40 to 125"," --- ","Catalog","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.4","3.6","15"
"TMP461-SP","Radiation-hardness-assured (RHA), high-accuracy remote and local temperature sensor","=HYPERLINK(""https://www.ti.com/product/TMP461-SP/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125,
25 to 25","2","Space","CFP|10","45 mm2: 6.48 x 7.02 (CFP|10)","1.7","3.6","2"
